Model,Accuracy,F1,Precision,Recall,ROC-AUC
XGBoost,0.7151515151515152,0.44047619047619047,0.5138888888888888,0.3854166666666667,0.7043714387464388
Logistic Regression,0.7045454545454546,0.31095406360424027,0.4835164835164835,0.22916666666666666,0.7015780804843306
