hand_speed_diff,com_std_diff,movement_diff,elbow_diff,visibility_avg,ball_speed_mean,ball_speed_max,rally_duration_frames,hand_speed_diff_last3,com_std_diff_last3,movement_diff_last3,elbow_diff_last3,visibility_avg_last3,ball_speed_mean_last3,ball_speed_max_last3,rally_duration_frames_last3,score_diff,total_points,rally_number,label,match_id,player1_name,player2_name
0.012825806451612895,-0.04047858939463294,0.021012903225806442,61.21580645161289,0.8225112903225806,3.117331132075472,5.5589,166.0,0.012825806451612895,-0.04047858939463294,0.021012903225806442,61.21580645161289,0.8225112903225806,3.117331132075472,5.5589,166.0,-1.0,1.0,1,1,0,LEBRUN Felix,MOREGARD Truls
0.013026827545534324,-0.018235916571180448,0.006216528143515469,48.04628970539829,0.8360545184606101,3.4904375843863598,5.66405,198.0,0.013026827545534324,-0.018235916571180448,0.006216528143515469,48.04628970539829,0.8360545184606101,3.4904375843863598,5.66405,198.0,0.0,2.0,2,1,0,LEBRUN Felix,MOREGARD Truls
0.12273788503035622,0.04380373454115619,0.010088240984565866,33.24297091470997,0.8356069011959623,2.8177542800018656,4.874266666666666,285.3333333333333,0.12273788503035622,0.04380373454115619,0.010088240984565866,33.24297091470997,0.8356069011959623,2.8177542800018656,4.874266666666666,285.3333333333333,-1.0,3.0,3,1,0,LEBRUN Felix,MOREGARD Truls
0.10098374272013559,0.04006937479149154,0.023890786001582297,20.967826870243,0.8333291561601296,3.087636399656571,6.089700000000001,254.75,0.13036972147630982,0.06691869618686636,0.02485008026017425,7.551833676453039,0.8369351114393124,3.0777381555169376,6.266633333333334,284.3333333333333,0.0,4.0,4,1,0,LEBRUN Felix,MOREGARD Truls
0.07192170005846141,0.04024796443278385,0.01736909938950113,22.329202672664984,0.8364206778692802,3.0873872066817785,6.981920000000001,293.8,0.11118494840041282,0.0792372184354267,0.024804146886824904,5.184477984176112,0.8366647841417268,2.8186869548787246,7.860500000000001,357.6666666666667,-1.0,5.0,5,1,0,LEBRUN Felix,MOREGARD Truls
0.0645841807887558,0.05979404310793022,0.012660524001054864,21.812864972318863,0.8348515452832238,3.168049772505818,6.782366666666667,320.3333333333333,0.006430476547155385,0.07578435167470425,0.015232807017543861,10.382759029927755,0.8340961893704849,3.518345265009771,8.690466666666667,355.3333333333333,0.0,6.0,6,1,0,LEBRUN Felix,MOREGARD Truls
0.05412051475015047,0.04496977724993403,-0.008637407999095834,20.200445108548443,0.8193188774385305,3.2835476773454126,7.901257142857143,294.0,-0.008363789209829673,0.05150364719452402,-0.052008333333333344,19.17726942628903,0.8006385058097313,3.544762714263868,10.316666666666666,346.3333333333333,1.0,7.0,7,1,0,LEBRUN Felix,MOREGARD Truls
0.013972971773903019,0.043768718210684204,-0.016514355930832787,16.359256991347408,0.8115161972458935,3.495945793764193,7.825375,263.125,-0.08260824203369431,0.04963664117385149,-0.07298678146472265,6.409347522484789,0.7700087295402492,4.176876772234883,9.231133333333334,212.0,0.0,8.0,8,1,0,LEBRUN Felix,MOREGARD Truls
0.015213484169395275,0.06135761031210117,-0.022163455271851366,12.426970103419919,0.7938977679222757,3.595928295755762,7.969377777777778,250.11111111111111,-0.08352790906932578,0.06448474472044309,-0.09181141381766383,-6.3448196343779655,0.7119902132003798,4.451685342255648,10.3434,109.66666666666667,-1.0,9.0,9,1,0,LEBRUN Felix,MOREGARD Truls
0.008102135752455747,0.06135761031210117,-0.020617109744666233,-5.532726906922072,0.7536629911300481,3.2363354661801855,7.17244,225.1,-0.09927408190883195,0.1187150260296862,-0.048569747150997156,-65.57679494301993,0.6004659230769231,3.126173640127989,5.471866666666666,64.33333333333333,0.0,10.0,10,1,0,LEBRUN Felix,MOREGARD Truls
0.004473898265018292,0.06433702323060034,-0.013544368242306804,3.170044348001852,0.7476480029138345,3.1337873328910777,8.182627272727274,267.8181818181818,-0.02085696442534098,0.14661024331026484,-0.0056244010729041794,-32.0011893675863,0.5773328180283442,2.1680314372294376,9.1353,280.3333333333333,-1.0,11.0,11,1,0,LEBRUN Felix,MOREGARD Truls
0.0017628789651556547,0.05155945414448191,-0.010533031999892348,4.55750593011281,0.7414370582265706,3.226015142869453,9.180675,261.6666666666667,-0.03858893664756321,0.007467751390195232,0.02435823781598471,-19.050886589808517,0.5840549291394553,2.116275684210526,12.814566666666666,296.3333333333333,0.0,12.0,12,1,0,LEBRUN Felix,MOREGARD Truls
-0.0061140226556457905,0.04612687856878719,-0.01435356799990063,7.78304191119725,0.7426248958528667,3.2971676452963106,9.316838461538463,251.53846153846155,-0.053501217349317585,0.0004346833388452394,0.006524904482651366,52.16893797159499,0.705831244928929,3.499941575683394,16.464833333333335,339.6666666666667,-1.0,13.0,13,1,0,LEBRUN Felix,MOREGARD Truls
-0.011258806624347436,0.042156525905940274,-0.01493511859221738,8.21752542123269,0.7485300153367656,3.320679828588154,9.605264285714286,320.2857142857143,-0.06894539121868844,-0.03177846517625991,-0.020034536541889487,26.7249560230791,0.7517640608875128,4.0059523128107655,14.821599999999998,512.6666666666666,-2.0,14.0,14,1,0,LEBRUN Felix,MOREGARD Truls
-0.016199330627168718,0.0387520555309927,-0.01627333290829178,7.569412615372731,0.7538166254254257,3.375954355167125,9.460273333333333,305.6666666666667,-0.08804816899646621,-0.008208406051801044,-0.0392345365418895,19.61703935641242,0.8033348942208463,3.975711204357815,10.578666666666665,481.6666666666667,-3.0,15.0,15,1,0,LEBRUN Felix,MOREGARD Truls
-0.012891548474000085,0.02790749346106697,-0.013452492708141188,8.176239308529585,0.7518400980550867,3.2623765829691798,9.29970625,332.9375,-0.04226082702020203,-0.04497004696981391,-0.009547833110516933,9.880094696969692,0.7917726409313725,3.111615312884947,9.225466666666668,685.6666666666666,-2.0,16.0,16,1,0,LEBRUN Felix,MOREGARD Truls
-0.013557143661804,0.019250354672364633,-0.01208672516321785,10.209676211949414,0.7440360726792973,3.2405762017999797,9.207776470588234,326.70588235294116,-0.024282716503267954,-0.08000972067312985,0.0012057775054466248,19.506379901960784,0.7230643402777778,2.8667592767885033,7.352833333333334,356.6666666666667,-3.0,17.0,17,1,0,LEBRUN Felix,MOREGARD Truls
-0.014490305350262331,0.01814687404465662,-0.012970795987483527,10.302607113087362,0.743860495067985,3.296084666779346,9.149616666666667,335.0,-0.005945178965730408,-0.07801063955824512,0.0035418886165577285,23.968579601660505,0.6940798432807808,2.8967362248404513,7.596333333333334,481.6666666666667,-4.0,18.0,18,1,0,LEBRUN Felix,MOREGARD Truls
-0.010607482261652031,0.01587388919207186,-0.01890057865480896,15.699206738714343,0.7487021356784419,3.1727085940917115,8.979568421052631,336.2105263157895,0.0015742042042042371,-0.0442941321529037,-0.047957037037037055,55.821699699699714,0.7319663363363365,2.6944793200785466,7.272166666666667,353.6666666666667,0.0,0.0,19,1,0,LEBRUN Felix,MOREGARD Truls
-0.006217328736804725,0.014765272301873822,-0.019648141633833216,15.67299824001392,0.7543155583062845,3.245639101887126,8.88954,324.75,0.03537495583819115,-0.00915516700741049,-0.06249616830065361,46.63182306571277,0.8125659768592121,3.274328869047619,7.086200000000001,313.6666666666667,1.0,1.0,20,1,0,LEBRUN Felix,MOREGARD Truls
0.005407305964947883,0.018079850899351452,-0.01088108727031735,23.115712609537063,0.7355691031488424,3.09108485894012,8.466228571428571,309.2857142857143,0.12479297385620917,0.017700053075955503,0.0016571650326797267,99.99434558823528,0.6858207516339868,1.8610860119047619,4.3659,155.0,-1.0,1.0,21,1,0,LEBRUN Felix,MOREGARD Truls
