frame,track_id,x,y,speed_pps,x_m,y_m,speed_mps
828,6,538.00,389.95,0.00,0.6566,0.6873,
829,6,530.00,389.22,401.68,0.5994,0.6764,2.9140
1767,8,740.97,348.65,0.00,2.1689,-0.0501,
1768,8,748.07,347.36,360.79,2.2257,-0.0750,3.1000
1769,8,755.08,346.70,356.45,2.2809,-0.0883,2.9718
1800,10,587.06,405.69,0.00,1.0088,0.9295,
1801,10,583.89,402.67,218.96,0.9859,0.8831,2.5849
1802,10,580.09,400.26,221.83,0.9586,0.8461,2.4417
1803,10,576.13,398.56,219.73,0.9303,0.8199,2.2986
1804,10,572.13,397.60,216.31,0.9018,0.8051,2.1142
1805,10,568.81,396.85,207.06,0.8782,0.7937,1.9299
1806,10,565.04,396.68,200.98,0.8516,0.7914,1.6047
1807,10,561.11,396.87,195.37,0.8241,0.7948,1.3860
1808,10,557.46,398.01,190.51,0.7991,0.8132,1.3860
1812,10,543.42,407.85,320.79,0.7075,0.9667,1.3860
1831,11,758.14,374.86,0.00,2.2559,0.4119,
1832,11,769.81,375.33,584.11,2.3415,0.4184,4.2895
1833,11,781.29,375.67,579.20,2.4258,0.4227,4.2562
1836,11,814.60,379.98,945.95,2.6630,0.4914,4.2895
3863,17,720.00,131.38,0.00
3864,17,720.00,131.38,0.00
3865,17,720.00,131.38,0.00
3866,17,720.00,131.38,0.00
3887,18,733.21,379.86,0.00,2.0650,0.4994,
3891,18,770.89,394.92,2029.11,2.3153,0.7416,17.4174
3892,18,779.35,399.48,1254.87,2.3680,0.8134,10.9348
3893,18,788.83,405.07,1020.03,2.4254,0.9001,5.2021
