frame,timestamp_sec,player_id,visibility_mean,visibility_min,visibility_left_arm,visibility_right_arm,angle_trunk_lean,angle_elbow_dom,angle_elbow_left,angle_elbow_right,angle_knee_front,angle_knee_back,com_height,hand_height,hand_height_left,hand_height_right,stance_length,v_hand_speed,v_hand_speed_left,v_hand_speed_right,v_torso_x,v_com_y
120,2.4,2,0.8343,0.2787,0.8021,0.6315,18.77,135.21,135.21,100.2,124.18,137.03,0.4039,0.4072,0.4072,0.4627,0.0119,0.1729,0.1729,0.1229,0.0677,-0.0525
128,2.56,1,0.8465,0.3944,0.5975,0.9697,-19.13,117.95,96.23,117.95,119.2,149.23,0.4432,0.4393,0.5045,0.4393,0.0132,0.1025,0.1001,0.1025,-0.0551,0.063
128,2.56,2,0.8235,0.281,0.8069,0.6196,24.31,66.57,66.57,140.05,103.9,151.68,0.4008,0.4088,0.4088,0.4281,0.0203,0.0683,0.0683,0.2168,0.03,-0.0195
136,2.72,1,0.8502,0.4052,0.6129,0.9709,-18.67,103.04,79.29,103.04,121.3,139.76,0.4632,0.4476,0.5256,0.4476,0.0214,0.2003,0.1582,0.2003,-0.0985,0.1252
136,2.72,2,0.8037,0.2574,0.7777,0.5942,18.0,5.75,5.75,79.45,64.94,124.17,0.3857,0.4138,0.4138,0.411,0.0182,0.0465,0.0465,0.278,0.0054,-0.0942
144,2.88,1,0.8493,0.3975,0.6045,0.9724,-14.0,105.87,26.87,105.87,140.07,157.1,0.4652,0.4552,0.5278,0.4552,0.0137,0.2502,0.1018,0.2502,-0.0786,0.0126
144,2.88,2,0.8044,0.2459,0.7659,0.5819,11.91,16.15,16.15,175.42,141.83,146.17,0.3551,0.411,0.411,0.3124,0.0547,0.0863,0.0863,0.6758,-0.0164,-0.1914
152,3.04,1,0.8484,0.418,0.6123,0.9735,-15.91,143.16,121.04,143.16,176.38,134.41,0.4866,0.475,0.5303,0.475,0.0202,0.219,0.0675,0.219,-0.141,0.1339
152,3.04,2,0.7973,0.2336,0.7794,0.565,6.95,32.9,32.9,40.17,136.54,127.6,0.3604,0.4259,0.4259,0.4374,0.0209,0.0937,0.0937,0.8403,-0.0248,0.0334
160,3.2,1,0.8516,0.423,0.6177,0.975,-14.3,159.0,137.06,159.0,158.06,130.92,0.4737,0.4479,0.5295,0.4479,0.0281,0.4464,0.0824,0.4464,-0.1246,-0.0811
160,3.2,2,0.7962,0.2322,0.7768,0.56,-1.58,139.56,139.56,115.58,84.38,158.25,0.3687,0.4919,0.4919,0.4838,0.0178,0.4499,0.4499,0.2907,-0.0398,0.0514
168,3.36,1,0.852,0.4457,0.6309,0.9727,-12.87,134.55,176.15,134.55,164.38,86.43,0.46,0.4348,0.5197,0.4348,0.0347,0.1131,0.1371,0.1131,-0.141,-0.0852
168,3.36,2,0.8086,0.2611,0.7906,0.5765,-4.53,159.41,159.41,164.0,78.65,170.59,0.3743,0.347,0.347,0.4422,0.0293,0.9475,0.9475,0.3069,0.0033,0.0355
176,3.52,1,0.8569,0.4796,0.6508,0.9747,-13.38,161.41,163.03,161.41,105.09,145.14,0.4469,0.4049,0.5184,0.4049,0.0111,0.192,0.0998,0.192,-0.1387,-0.0824
176,3.52,2,0.8186,0.2946,0.8099,0.5905,1.15,130.91,130.91,139.32,59.38,150.85,0.3993,0.3826,0.3826,0.4452,0.0247,0.2312,0.2312,0.0203,0.0718,0.1561
184,3.68,1,0.8644,0.4774,0.6508,0.9765,-9.65,164.92,130.46,164.92,139.19,171.23,0.4426,0.3826,0.5127,0.3826,0.0503,0.4193,0.2021,0.4193,-0.1206,-0.0268
184,3.68,2,0.8097,0.2796,0.8206,0.5743,6.21,165.37,165.37,99.34,91.58,144.08,0.4022,0.3741,0.3741,0.4529,0.0171,0.0865,0.0865,0.4636,0.1176,0.018
192,3.84,1,0.8637,0.4428,0.6269,0.9779,-9.77,151.59,127.36,151.59,133.11,131.83,0.4384,0.3939,0.4825,0.3939,0.0261,0.1073,0.2825,0.1073,-0.0809,-0.026
192,3.84,2,0.8109,0.2924,0.8328,0.5781,7.32,143.21,143.21,166.13,131.21,159.93,0.4467,0.4405,0.4405,0.4681,0.0273,0.4169,0.4169,0.1794,0.0765,0.2785
200,4.0,1,0.8681,0.4162,0.6074,0.9796,-11.84,139.84,125.83,139.84,159.33,104.93,0.4269,0.3974,0.4546,0.3974,0.0624,0.0637,0.1758,0.0637,-0.0364,-0.0716
200,4.0,2,0.7998,0.2712,0.8274,0.5591,8.87,105.68,105.68,129.18,129.4,140.91,0.4633,0.4717,0.4717,0.4918,0.0308,0.2109,0.2109,0.179,0.0817,0.1036
208,4.16,1,0.8722,0.4048,0.5956,0.9812,-9.99,113.85,156.47,113.85,168.36,119.37,0.4541,0.4567,0.466,0.4567,0.0608,0.3957,0.1321,0.3957,0.125,0.1697
208,4.16,2,0.7878,0.2522,0.8213,0.5415,10.2,48.14,48.14,88.6,89.92,149.19,0.4657,0.4938,0.4938,0.4999,0.0187,0.1383,0.1383,0.0692,0.0596,0.0148
216,4.32,1,0.8718,0.3791,0.577,0.9792,-5.89,105.56,115.48,105.56,173.48,144.04,0.4933,0.5001,0.547,0.5001,0.0346,0.2963,0.5153,0.2963,0.148,0.245
216,4.32,2,0.7919,0.2753,0.8338,0.5487,6.93,41.88,41.88,71.8,145.83,170.65,0.5086,0.5464,0.5464,0.5631,0.0164,0.329,0.329,0.4002,-0.029,0.2683
224,4.48,1,0.867,0.3529,0.5584,0.9771,-2.56,137.78,115.78,137.78,171.63,161.63,0.4906,0.499,0.5256,0.499,0.0005,0.1298,0.167,0.1298,0.1398,-0.0171
224,4.48,2,0.7891,0.2747,0.8454,0.5422,2.74,55.55,55.55,85.48,172.96,,0.5653,0.5847,0.5847,0.5998,0.0007,0.2402,0.2402,0.2291,-0.0612,0.3541
232,4.64,1,0.8672,0.3297,0.5418,0.9736,0.07,120.14,85.75,120.14,164.13,154.32,0.5016,0.5072,0.5536,0.5072,0.0709,0.1638,0.2459,0.1638,0.1509,0.0687
232,4.64,2,0.7857,0.2538,0.8453,0.5258,3.75,67.64,67.64,92.15,,171.3,0.579,0.5929,0.5929,0.6071,0.0073,0.0786,0.0786,0.0461,-0.0729,0.0861
240,4.8,1,0.8651,0.3125,0.5281,0.9743,1.76,148.06,99.76,148.06,144.13,158.93,0.5108,0.5015,0.5581,0.5015,0.035,0.097,0.1487,0.097,0.1617,0.058
240,4.8,2,0.7844,0.2354,0.8328,0.5131,2.93,118.36,118.36,119.42,,164.24,0.5775,0.589,0.589,0.6009,0.0516,0.103,0.103,0.0546,-0.1088,-0.0095
