frame,timestamp_sec,player_id,visibility_mean,visibility_min,visibility_left_arm,visibility_right_arm,angle_trunk_lean,angle_elbow_dom,angle_elbow_left,angle_elbow_right,angle_knee_front,angle_knee_back,com_height,hand_height,hand_height_left,hand_height_right,stance_length,v_hand_speed,v_hand_speed_left,v_hand_speed_right,v_torso_x,v_com_y
1904,38.08,2,0.6092,0.3648,0.7684,0.5873,1.08,170.03,170.03,175.97,,,0.3473,0.326,0.326,0.3085,,0.5475,0.5475,0.4852,-0.0573,-0.1721
1912,38.24,1,0.8352,0.5285,0.7072,0.8487,-9.2,97.72,87.01,97.72,166.25,154.82,0.5689,0.5771,0.6004,0.5771,0.0075,0.1565,0.0628,0.1565,-0.0224,-0.0022
1912,38.24,2,0.6424,0.4124,0.7821,0.6253,-2.59,37.54,37.54,154.98,136.18,,0.3339,0.3966,0.3966,0.3131,,0.5311,0.5311,0.0617,-0.1244,-0.0839
1920,38.4,1,0.8323,0.5129,0.69,0.8597,-12.56,113.23,123.72,113.23,158.97,124.12,0.5715,0.5632,0.5857,0.5632,0.0387,0.1184,0.0929,0.1184,0.0044,0.0158
1920,38.4,2,0.671,0.4449,0.7993,0.6352,2.43,44.17,44.17,165.92,148.11,,0.3198,0.3424,0.3424,0.4264,,0.3394,0.3394,0.9783,-0.0802,-0.0879
1928,38.56,1,0.8266,0.4935,0.6701,0.8695,-14.28,110.05,114.62,110.05,162.21,115.27,0.5694,0.5582,0.5768,0.5582,0.0477,0.0398,0.0805,0.0398,-0.0109,-0.0131
1928,38.56,2,0.6965,0.4736,0.8181,0.6427,7.9,150.42,150.42,176.8,,172.12,0.3025,0.2802,0.2802,0.2811,0.0063,0.5237,0.5237,0.909,-0.0662,-0.1086
1936,38.72,1,0.8189,0.4561,0.6438,0.8735,-13.16,118.44,141.92,118.44,162.47,128.25,0.5985,0.6304,0.6472,0.6304,0.0402,0.4549,0.4447,0.4549,0.1436,0.182
1936,38.72,2,0.7053,0.4622,0.8209,0.6402,9.84,136.27,136.27,149.59,116.57,,0.3165,0.2996,0.2996,0.3059,0.0433,0.3898,0.3898,0.3778,0.0562,0.0876
1944,38.88,1,0.8176,0.4223,0.6297,0.8549,-8.24,174.25,130.11,174.25,152.14,152.33,0.6315,0.6495,0.6646,0.6495,0.0027,0.2452,0.1772,0.2452,0.1409,0.2063
1944,38.88,2,0.7313,0.483,0.8385,0.6509,4.78,172.45,172.45,130.04,150.8,63.55,0.349,0.33,0.33,0.4054,0.0642,0.2713,0.2713,0.6498,0.1215,0.2033
1952,39.04,1,0.8234,0.3943,0.6297,0.8607,-2.32,171.64,149.75,171.64,155.56,154.81,0.6635,0.6532,0.6842,0.6532,0.0047,0.1358,0.1405,0.1358,0.1169,0.1999
1952,39.04,2,0.7479,0.4632,0.8532,0.6359,3.69,129.96,129.96,98.75,133.3,124.13,0.3758,0.3718,0.3718,0.4331,0.0317,0.2646,0.2646,0.2413,0.1305,0.1675
1960,39.2,1,0.8309,0.3668,0.631,0.8721,3.32,172.17,110.81,172.17,168.0,158.74,0.6711,0.6564,0.6944,0.6564,0.0186,0.0961,0.1384,0.0961,0.1263,0.0477
1960,39.2,2,0.7517,0.4215,0.8606,0.6089,-0.04,117.84,117.84,99.33,139.69,152.28,0.3849,0.3894,0.3894,0.4242,0.0196,0.1129,0.1129,0.1515,0.0353,0.0572
1968,39.36,1,0.8352,0.3388,0.6161,0.8822,5.54,168.64,129.38,168.64,163.02,157.84,0.6942,0.6783,0.7147,0.6783,0.0231,0.1509,0.1609,0.1509,0.0906,0.1446
1968,39.36,2,0.7529,0.3843,0.8637,0.5845,-3.25,112.92,112.92,74.89,150.95,163.45,0.388,0.4083,0.4083,0.4394,0.0167,0.1206,0.1206,0.0949,0.0088,0.0189
1976,39.52,1,0.8308,0.312,0.5914,0.8912,2.75,163.92,163.93,163.92,165.58,165.31,0.6972,0.6762,0.6853,0.6762,0.0374,0.0437,0.2764,0.0437,0.0762,0.0185
1976,39.52,2,0.7549,0.3514,0.8644,0.5644,-4.68,65.6,65.6,80.06,169.05,171.61,0.3957,0.4322,0.4322,0.4466,0.0166,0.1548,0.1548,0.1897,-0.0026,0.0481
1984,39.68,1,0.8254,0.2979,0.5739,0.8966,-1.48,159.13,158.41,159.13,168.02,174.43,0.6857,0.6663,0.6866,0.6663,0.0465,0.0747,0.1105,0.0747,0.0865,-0.0718
1984,39.68,2,0.7589,0.3233,0.873,0.5489,-4.78,63.85,63.85,87.42,173.83,172.61,0.3986,0.4381,0.4381,0.4496,0.0157,0.0368,0.0368,0.0565,-0.005,0.0184
1992,39.84,1,0.8247,0.2806,0.5561,0.9038,1.51,160.77,155.74,160.77,157.22,164.25,0.6849,0.6657,0.6789,0.6657,0.0125,0.0627,0.0859,0.0627,0.0972,-0.0048
1992,39.84,2,0.7627,0.3047,0.8796,0.5399,-5.52,61.77,61.77,77.94,177.97,171.75,0.4005,0.4386,0.4386,0.4556,0.0111,0.0048,0.0048,0.0887,-0.0265,0.0117
2000,40.0,1,0.831,0.2837,0.5515,0.912,0.3,159.34,168.86,159.34,166.86,150.88,0.6861,0.6657,0.6769,0.6657,0.008,0.0911,0.0998,0.0911,0.052,0.0074
2000,40.0,2,0.7681,0.3034,0.8886,0.5347,-3.47,131.81,131.81,100.84,177.59,,0.4179,0.4176,0.4176,0.4559,0.0167,0.1369,0.1369,0.194,-0.0474,0.1091
2008,40.16,1,0.8342,0.2767,0.5407,0.9161,-0.59,153.75,170.27,153.75,165.95,170.9,0.6772,0.6613,0.6711,0.6613,0.0347,0.1194,0.0675,0.1194,0.0621,-0.0559
2008,40.16,2,0.7853,0.3312,0.8992,0.5433,-1.8,150.37,150.37,139.08,174.71,171.11,0.4073,0.3989,0.3989,0.4595,0.0214,0.1186,0.1186,0.1021,-0.0447,-0.0666
2016,40.32,1,0.8369,0.2589,0.5264,0.9208,0.04,155.11,157.75,155.11,139.68,151.2,0.6736,0.6555,0.6982,0.6555,0.0067,0.0535,0.1877,0.0535,0.0852,-0.022
2016,40.32,2,0.8002,0.3788,0.9085,0.5704,-3.78,149.58,149.58,162.79,178.09,169.34,0.404,0.3912,0.3912,0.4553,0.0261,0.0482,0.0482,0.0822,-0.085,-0.0203
2024,40.48,1,0.8394,0.246,0.5155,0.9231,2.15,161.7,163.17,161.7,172.63,172.58,0.6705,0.6502,0.6939,0.6502,0.0038,0.0412,0.0671,0.0412,0.0786,-0.0197
2024,40.48,2,0.8139,0.4317,0.9166,0.6061,-4.51,160.89,160.89,178.33,178.91,166.02,0.4002,0.3764,0.3764,0.4371,0.0258,0.1071,0.1071,0.1379,-0.0817,-0.0238
2040,40.8,2,0.7565,0.4216,0.8705,0.6029,0.16,165.82,165.82,159.83,179.8,179.53,-0.395,-0.4108,-0.4108,0.0409,0.2057,2.5116,2.5116,1.5932,-0.2481,-2.4851
2048,40.96,2,0.7039,0.3963,0.8315,0.599,1.78,173.64,173.64,166.64,,179.71,-0.221,-0.2997,-0.2997,-0.3039,0.1912,0.7377,0.7377,2.2301,0.1873,1.0876
